"CMANAME","Population","ppl- 2020-03-17","ppl- 2020-03-24","ppl- 2020-03-31","ppl- 2020-04-07","ppl- 2020-04-14","ppl- 2020-04-21","per- 2020-03-17","per- 2020-03-24","per- 2020-03-31","per- 2020-04-07","per- 2020-04-14","per- 2020-04-21"
"Toronto",5928040,670,1408,2435,3966,6222,8144,0.113022179337521,0.237515266428702,0.410759711472932,0.669023825750164,1.04958805945979,1.37380989332056
"London",494069,28,74,144,231,331,412,0.0566722461842374,0.14977665062977,0.291457266090364,0.467546031019959,0.669946910249378,0.833891622425208
"Oshawa",379848,72,174,263,387,613,835,0.189549504012131,0.458077968029317,0.692382216044312,1.01882858406521,1.61380341610328,2.19824772014069
"Kitchener - Cambridge - Waterloo",523894,65,119,193,276,438,552,0.124070899838517,0.227145185858208,0.368395133366673,0.526824128545087,0.83604698660416,1.05364825709017
"Ottawa - Gatineau (Ontario part / partie de l'Ontario)",991726,168,309,431,565,744,985,0.169401629079,0.311577996341732,0.434595846030053,0.569713812081159,0.750207214492713,0.993217884778659
"Greater Sudbury / Grand Sudbury",164689,9,25,34,39,46,50,0.0546484586098647,0.151801273916291,0.206449732526155,0.236809987309413,0.279314344005975,0.303602547832581
"Hamilton",747545,57,126,183,253,313,371,0.076249590325666,0.168551725983051,0.244801316308717,0.338441164077079,0.418703890735675,0.496291193172317
"Cornwall",59699,24,38,53,61,69,78,0.40201678420074,0.636526574984506,0.887787065109968,1.02179265984355,1.15579825457713,1.30655454865241
"Barrie",197059,27,67,104,158,207,243,0.137014802673311,0.339999695522661,0.527760721408309,0.801790326754931,1.05044682049538,1.2331332240598
"St. Catharines - Niagara",406074,51,125,196,311,395,443,0.12559287223511,0.307825667242916,0.482670646236893,0.765870260100376,0.972729108487616,1.0909341647089
"Port Hope",16753,35,93,109,128,140,147,2.08917805766131,5.55124455321435,6.50629737957381,7.64042261087566,8.35671223064526,8.77454784217752
"Stratford",31465,5,9,18,34,37,40,0.15890672175433,0.286032099157794,0.572064198315589,1.08056570792945,1.17590974098204,1.27125377403464
"Kenora",15096,2,7,9,13,15,15,0.132485426603074,0.463698993110758,0.596184419713831,0.861155272919979,0.993640699523052,0.993640699523052
"Peterborough",121721,15,37,48,56,60,70,0.123232638575102,0.303973841818585,0.394344443440327,0.460068517347048,0.492930554300408,0.57508564668381
"Owen Sound",31820,10,14,21,41,49,70,0.314267756128221,0.43997485857951,0.659962287869265,1.28849780012571,1.53991200502828,2.19987429289755
"Guelph",151984,16,46,87,143,184,239,0.10527423939362,0.302663438256659,0.572428676702811,0.940888514580482,1.21065375302663,1.5725339509422
"Brantford",134203,24,45,55,71,81,93,0.178833558117181,0.335312921469714,0.409826904018539,0.52904927609666,0.603563258645485,0.692980037704075
"Windsor",329144,32,114,197,310,441,525,0.0972218846462339,0.346352964052208,0.598522227353377,0.941837007510391,1.33983909778091,1.59504654497727
"Kingston",161175,10,38,52,54,55,58,0.0620443617186288,0.23576857453079,0.32263068093687,0.335039553280596,0.341243989452459,0.359857297968047
"Sault Ste. Marie",78159,2,9,9,11,12,13,0.0255888637265062,0.115149886769278,0.115149886769278,0.140738750495784,0.153533182359037,0.16632761422229
"Timmins",41788,12,23,37,45,50,55,0.287163779075333,0.550397243227721,0.885421652148942,1.0768641715325,1.19651574614722,1.31616732076194
"Chatham-Kent",102042,4,10,17,27,35,44,0.0391995452852747,0.0979988632131867,0.166598067462417,0.264596930675604,0.342996021246154,0.431194998138022
"Belleville",103472,5,14,22,28,33,38,0.0483222514303386,0.135302304004948,0.21261790629349,0.270604608009896,0.318926859440235,0.367249110870574
"North Bay",70378,3,5,10,13,14,14,0.0426269572877888,0.0710449288129813,0.142089857625963,0.184716814913751,0.198925800676348,0.198925800676348
"Sarnia",96151,25,58,106,131,143,163,0.260007696227808,0.603217855248515,1.10243263200591,1.36244032823372,1.48724402242306,1.69525017940531
"Thunder Bay",121621,5,16,29,35,53,63,0.0411113212356419,0.131556227954054,0.238445663166723,0.287779248649493,0.435780005097804,0.518002647569088
"Brockville",38553,8,40,87,175,262,293,0.207506549425466,1.03753274712733,2.25663372500195,4.53920576868207,6.79583949368402,7.5999273727077
"Pembroke",23269,2,8,12,14,14,14,0.0859512656323864,0.343805062529546,0.515707593794319,0.601658859426705,0.601658859426705,0.601658859426705
"Ontario",13448494,1401,3082,5058,7714,11227,14247,0.104175233301216,0.229170641709027,0.376101591747002,0.573595824186708,0.834814664006245,1.05937512408453
